xc yc W eW
-1.31 0.19 0.120401 0.0212406
-1.31 0.21 0.116788 0.0218177
-1.31 0.23 0.118644 0.0212108
-1.31 0.25 0.110727 0.0206291
-1.31 0.27 0.123636 0.022476
-1.31 0.29 0.0938776 0.020473
-1.31 0.31 0.0875912 0.0186461
-1.31 0.33 0.097561 0.0193157
-1.31 0.35 0.112903 0.022509
-1.31 0.37 0.090301 0.0181461
-1.29 0.09 0.148936 0.0246334
-1.29 0.11 0.0931174 0.0203002
-1.29 0.13 0.0719178 0.0162483
-1.29 0.15 0.122378 0.0219148
-1.29 0.17 0.144828 0.0239109
-1.29 0.19 0.0933852 0.0199324
-1.29 0.21 0.0948276 0.0211542
-1.29 0.23 0.137184 0.0237316
-1.29 0.25 0.170543 0.0278164
-1.29 0.27 0.14539 0.0243007
-1.29 0.29 0.0984848 0.0202432
-1.29 0.31 0.148594 0.0261809
-1.29 0.33 0.0898438 0.0195572
-1.29 0.35 0.133333 0.0243432
-1.29 0.37 0.0936455 0.0185074
-1.29 0.39 0.101045 0.0196888
-1.29 0.41 0.0807018 0.0174933
-1.29 0.43 0.0883392 0.0184317
-1.29 0.45 0.128114 0.0226789
-1.27 0.01 0.0964286 0.0194318
-1.27 0.03 0.131673 0.0230279
-1.27 0.05 0.152174 0.0252043
-1.27 0.07 0.128302 0.0233726
-1.27 0.09 0.111969 0.0219253
-1.27 0.11 0.100372 0.0202628
-1.27 0.13 0.136029 0.0238356
-1.27 0.15 0.145455 0.0246142
-1.27 0.17 0.0734266 0.0166008
-1.27 0.19 0.0801394 0.0173669
-1.27 0.21 0.147368 0.0243574
-1.27 0.23 0.126016 0.024017
-1.27 0.25 0.121569 0.0231235
-1.27 0.27 0.0964286 0.0194318
-1.27 0.29 0.121673 0.0227799
-1.27 0.31 0.10453 0.0200571
-1.27 0.33 0.140893 0.0235029
-1.27 0.35 0.114478 0.0207262
-1.27 0.37 0.125 0.0238125
-1.27 0.39 0.139785 0.0238968
-1.27 0.41 0.102649 0.0193594
-1.27 0.43 0.0811808 0.0179966
-1.27 0.45 0.0880282 0.0183642
-1.27 0.47 0.120755 0.0225987
-1.27 0.49 0.0881226 0.0191674
-1.27 0.51 0.109375 0.021771
-1.25 -0.05 0.118644 0.0212108
-1.25 -0.03 0.110236 0.0219509
-1.25 -0.01 0.127273 0.022841
-1.25 0.01 0.153285 0.0254005
-1.25 0.03 0.132353 0.0234733
-1.25 0.05 0.132812 0.0242426
-1.25 0.07 0.126354 0.0226669
-1.25 0.09 0.138298 0.0236271
-1.25 0.11 0.145038 0.0251768
-1.25 0.13 0.0973154 0.0189299
-1.25 0.15 0.0833333 0.0180857
-1.25 0.17 0.128676 0.0231073
-1.25 0.19 0.108303 0.0208166
-1.25 0.21 0.102389 0.0196273
-1.25 0.23 0.090566 0.0193057
-1.25 0.25 0.108696 0.0208957
-1.25 0.27 0.108871 0.0220633
-1.25 0.29 0.125 0.0230797
-1.25 0.31 0.0902778 0.0184868
-1.25 0.33 0.0960854 0.0193597
-1.25 0.35 0.100806 0.0211531
-1.25 0.37 0.129278 0.0235605
-1.25 0.39 0.0869565 0.0185056
-1.25 0.41 0.0881226 0.0191674
-1.25 0.43 0.103175 0.0212524
-1.25 0.45 0.0863309 0.0183672
-1.25 0.47 0.105263 0.0202045
-1.25 0.49 0.141221 0.0248019
-1.25 0.51 0.126531 0.0241205
-1.25 0.53 0.0863309 0.0183672
-1.25 0.55 0.0902527 0.0188475
-1.25 0.57 0.0820312 0.0186204
-1.23 -0.09 0.116883 0.0205875
-1.23 -0.07 0.106227 0.0207472
-1.23 -0.05 0.12 0.0221072
-1.23 -0.03 0.125523 0.0243131
-1.23 -0.01 0.118577 0.0228967
-1.23 0.01 0.117188 0.0226143
-1.23 0.03 0.141129 0.025483
-1.23 0.05 0.108392 0.0204956
-1.23 0.07 0.148289 0.025445
-1.23 0.09 0.0879121 0.0187172
-1.23 0.11 0.114943 0.0221588
-1.23 0.13 0.0813559 0.017269
-1.23 0.15 0.1 0.0201843
-1.23 0.17 0.118367 0.0232448
-1.23 0.19 0.152941 0.0262964
-1.23 0.21 0.085034 0.0177151
-1.23 0.23 0.117438 0.0216104
-1.23 0.25 0.122302 0.0222203
-1.23 0.27 0.102662 0.0207466
-1.23 0.29 0.124088 0.0225626
-1.23 0.31 0.125475 0.0231723
-1.23 0.33 0.122744 0.0223049
-1.23 0.35 0.0827338 0.0179506
-1.23 0.37 0.108553 0.0198958
-1.23 0.39 0.0989011 0.0199526
-1.23 0.41 0.102564 0.0203525
-1.23 0.43 0.110701 0.0213005
-1.23 0.45 0.0967742 0.0195046
-1.23 0.47 0.151394 0.026353
-1.23 0.49 0.151111 0.0278045
-1.23 0.51 0.108844 0.0202611
-1.23 0.53 0.130268 0.0237514
-1.23 0.55 0.104895 0.0201305
-1.23 0.57 0.146718 0.0254871
-1.23 0.59 0.126482 0.023731
-1.23 0.61 0.0851852 0.0185034
-1.21 -0.15 0.0912409 0.0190625
-1.21 -0.13 0.101351 0.0194192
-1.21 -0.11 0.126437 0.0233598
-1.21 -0.09 0.117647 0.0235047
-1.21 -0.07 0.0958333 0.0209182
-1.21 -0.05 0.0931174 0.0203002
-1.21 -0.03 0.125 0.0227377
-1.21 -0.01 0.119691 0.0227473
-1.21 0.01 0.109091 0.0209755
-1.21 0.03 0.11284 0.0221046
-1.21 0.05 0.152893 0.0269886
-1.21 0.07 0.0970149 0.0199277
-1.21 0.09 0.107011 0.0209077
-1.21 0.11 0.125 0.0227377
-1.21 0.13 0.104895 0.0201305
-1.21 0.15 0.0993151 0.0193365
-1.21 0.17 0.114625 0.0224721
-1.21 0.19 0.122744 0.0223049
-1.21 0.21 0.114478 0.0207262
-1.21 0.23 0.0915751 0.0191353
-1.21 0.25 0.1 0.0194759
-1.21 0.27 0.121212 0.022689
-1.21 0.29 0.12749 0.0239308
-1.21 0.31 0.154717 0.0259647
-1.21 0.33 0.0766551 0.0169577
-1.21 0.35 0.0952381 0.0195469
